County,STATE,ZCTA5CE10,INTPTLAT10,INTPTLON10,BUI,PctPark,fips,popDens,propPOC,POC,Race,medAge,totPop,Urban,Covid19,NDVI,propWht,medInc,Arid,Days
Williamsburg,South Carolina,29518,+33.7886078,-079.8479751,234,0,45089,8.272184268e-6,0.344529750479846,White majority,White,54.6,1042,Rural,5086.37236084453,0.727,0.655470249520154,34063,0.7669,211
Chesterfield,South Carolina,29520,+34.6794863,-079.9272923,892,2.5271252259,45025,4.0017775013e-5,0.531744889144832,POC majority,Black,44.2,13892,Rural,3059.314713504175,0.717,0.468255110855168,39784,0.7679,212
Marlboro,South Carolina,29525,+34.5524152,-079.5408849,1,0.1012803691,45069,1.7378950282e-5,0.713202497769848,POC majority,Black,39.2,2242,Rural,2943.800178412132,0.733,0.286797502230152,35662,0.7559,215
Horry,South Carolina,29526,+33.8474056,-078.9470931,4059,0.7028967909,45051,9.7452423539e-5,0.247665466151955,White majority,White,39.7,46369,Rural,3142.185511872156,0.696,0.752334533848045,46218,0.829,221
Horry,South Carolina,29527,+33.7850833,-079.1401758,1688,0.4212343713,45051,6.4589282346e-5,0.362324432782837,White majority,White,40.6,25916,Rural,2307.454854144158,0.702,0.637675567217163,40409,0.8255,221
Florence,South Carolina,29530,+33.9960545,-079.7400748,494,0.6622171643,45041,2.3424781194e-5,0.138924731182796,White majority,White,37.1,2325,Rural,3956.9892473118284,0.726,0.861075268817204,43750,0.7539,216
Darlington,South Carolina,29532,+34.2803309,-079.8693363,6774,1.3984817679,45031,7.7249434367e-5,0.5352587244284,POC majority,Mixed,41,20775,Rural,3123.947051744886,0.7,0.464741275571601,31921,0.7475,216
Dillon,South Carolina,29536,+34.4195023,-079.3730478,0,1.5013306833,45033,4.7572414339e-5,0.601923557332001,POC majority,Black,36.8,16012,Urban,3310.017486884836,0.727,0.398076442667999,29102,0.7656,215
Darlington,South Carolina,29540,+34.3838317,-079.8504618,509,0.2405733204,45031,1.8823257435e-5,0.626044956344046,POC majority,Black,39.9,5383,Rural,3269.5522942597067,0.735,0.373955043655954,30580,0.7484,216
Florence,South Carolina,29541,+34.0649490,-079.7407503,896,0.273924182,45041,4.7169933915e-5,0.36767003437142,White majority,White,40.2,9601,Rural,2812.2070617643994,0.719,0.63232996562858,49570,0.7476,216
Horry,South Carolina,29544,+34.0084962,-079.0252710,492,0.5402045351,45051,1.7959762752e-5,0.053008866251651,White majority,White,37.9,5301,Rural,2207.130730050934,0.722,0.946991133748349,42519,0.8049,221
Horry,South Carolina,29545,+34.1636600,-078.9664772,492,0.1009463389,45051,1.5524911893e-5,0.28808864265928,White majority,White,39.2,1444,Rural,3254.847645429363,0.741,0.71191135734072,29571,0.8132,221
Marion,South Carolina,29546,+33.8838453,-079.3494090,104,1.2982904725,45067,7.856308463e-6,0.637099494097808,POC majority,Black,45.6,2965,Rural,3271.5008431703204,0.736,0.36290050590219203,35022,0.797,211
Dillon,South Carolina,29547,+34.4962873,-079.3348288,3,0.0175411047,45033,3.414120327e-5,0.570658342792282,POC majority,Black,33.6,3524,Rural,2610.6696935300793,0.733,0.429341657207719,26627,0.7668,215
Darlington,South Carolina,29550,+34.3999750,-080.0828058,2180,2.3648294007,45031,5.7851269297e-5,0.356910365548322,White majority,White,41,31952,Urban,2788.557836755133,0.676,0.643089634451678,42243,0.7504,216
Fayette,Pennsylvania,15480,+39.9856213,-079.7735665,1148,0.1714263486,42051,3.9588937498e-5,0.052291105121294,White majority,White,49.9,1855,Rural,539.0835579514825,0.797,0.947708894878706,49306,0.8558,214
Fayette,Pennsylvania,15482,+40.0614875,-079.7660666,5030,0.0831803089,42051,1.32743910248e-4,0,White majority,White,53.1,397,Rural,503.77833753148616,0.76,1,48056,0.8641,214
Washington,Pennsylvania,15483,+40.0830203,-079.8509216,20942,0.3762699369,42125,5.67864758229e-4,0.02970297029703,White majority,White,56.2,404,Urban,1732.673267326733,0.699,0.97029702970297,46458,0.8019,223
Fayette,Pennsylvania,15486,+40.0258860,-079.7111641,1236,0.7221597846,42051,4.5464884675e-5,0.030882992605481,White majority,White,47.8,2299,Rural,347.9773814702044,0.798,0.969117007394519,55568,0.8972,214
Fayette,Pennsylvania,15489,+39.9663811,-079.6960552,430,0,42051,1.98573990531e-4,0.035416666666667,White majority,White,47.1,480,Rural,416.6666666666667,0.783,0.964583333333333,29792,0.8766,214
Somerset,Pennsylvania,15501,+40.0397422,-079.1298196,1354,2.6574003681,42111,4.6264483239e-5,0.078250576288082,White majority,White,45.8,16051,Rural,255.4357983926235,0.788,0.921749423711918,48734,0.9998,212
Somerset,Pennsylvania,15502,+40.0410149,-079.2415029,6553,46.890178709,42111,8.772392661e-6,0,White majority,White,62.4,136,Rural,1470.5882352941176,0.818,1,90972,1.1061,212
Somerset,Pennsylvania,15520,+40.1063669,-079.0605391,5386,0,42111,1.59623653033e-4,0,White majority,White,45.7,280,Rural,0,0.749,1,43235,0.992,212
Bedford,Pennsylvania,15521,+40.2080450,-078.6303550,987,2.2306249503,42009,2.0321923132e-5,0.046449546182595,White majority,White,41.1,1873,Rural,640.6833956219967,0.818,0.953550453817405,47083,0.8968,205
Bedford,Pennsylvania,15522,+39.9417327,-078.5484080,1379,1.6240892967,42009,2.3761910039e-5,0.03261340966259,White majority,White,51.6,11529,Rural,477.0578541070344,0.807,0.96738659033741,51675,0.8594,205
Somerset,Pennsylvania,15530,+39.9408086,-078.9240266,621,0.2112091486,42111,2.2855535675e-5,0.019694921799575,White majority,White,46.2,5179,Rural,212.39621548561496,0.794,0.980305078200425,51563,0.9676,212
Schuylkill,Pennsylvania,17931,+40.7864914,-076.2145748,8752,3.8891336415,42107,3.23579222764e-4,0.343339801392535,White majority,White,40.4,8761,Urban,410.9119963474489,0.727,0.656660198607465,51714,1.1019,214
